0.45775970,0.37691770,0.70233513,0.20732411,0.07427954,0.36602663,0.34063534,0.12052410,0.85456230,0.66814779
0.02579116,0.54015956,0.15380319,0.51122014,0.77125256,0.41305362,0.59686489,0.54643893,0.57760586,0.47811713
0.16703196,0.24161427,0.89404935,0.73820649,0.98286584,0.05413008,0.31657210,0.95928769,0.43937881,0.60433745
0.56974144,0.14068940,0.73110430,0.05831260,0.53796289,0.55263778,0.20184845,0.75042423,0.89617682,0.97906800
0.02681694,0.30972491,0.92482381,0.05050541,0.27202519,0.53338855,0.74019714,0.22805642,0.30034419,0.19453843
0.44306205,0.50434605,0.89922697,0.77075438,0.71534505,0.57266976,0.32858020,0.07007694,0.25880761,0.19468726
0.22789728,0.22677488,0.43054668,0.38071488,0.33704676,0.88123757,0.20273741,0.16365367,0.07600289,0.92486016
0.19434630,0.57226799,0.37371782,0.55529975,0.64256634,0.84007703,0.50726303,0.32724071,0.18107992,0.60681702
0.13200439,0.85580715,0.02778949,0.84529984,0.21924662,0.48785784,0.73052070,0.78416684,0.40177979,0.49945476
0.02957266,0.34402606,0.26157885,0.39006907,0.30089337,0.15973980,0.94173032,0.42927883,0.63780271,0.92676114
