0.90655550,0.77404733,0.33314515,0.08110139,0.40724117,0.23223414,0.13248763,0.05342718,0.72559436,0.01142746
0.77058075,0.14694665,0.07952208,0.08960303,0.67204781,0.24536721,0.42053947,0.55736879,0.86055117,0.72704426
0.27032791,0.13148280,0.05537432,0.30159863,0.26211815,0.45614057,0.68328134,0.69562545,0.28351885,0.37992696
0.18115096,0.78854551,0.05684808,0.69699724,0.77869540,0.77740756,0.25942256,0.37381314,0.58759964,0.27282190
0.37085280,0.19705428,0.45985588,0.04461230,0.79979588,0.07695645,0.51883515,0.30681010,0.57754295,0.95943334
0.64557024,0.03536244,0.43040244,0.51001685,0.53617749,0.68139251,0.27759610,0.12886057,0.39267568,0.95640572
0.18713089,0.90398395,0.54380595,0.45691142,0.88204141,0.45860396,0.72416764,0.39902532,0.90404439,0.69002502
0.69962205,0.32772040,0.75677864,0.63606106,0.24002027,0.16053882,0.79639147,0.95916660,0.45813883,0.59098417
0.85772264,0.45722345,0.95187448,0.57575116,0.82076712,0.90884372,0.81552382,0.15941446,0.62889844,0.39843426
0.06271295,0.42403225,0.25868407,0.84903831,0.03330463,0.95898272,0.35536885,0.35670689,0.01632850,0.18523233
